PS_PARTKEY,PS_SUPPKEY,PS_AVAILQTY,PS_SUPPLYCOST,PS_COMMENT
1,2,3325,772,", even theodolites. regular, final theodolites eat after the carefully pending foxes. furiously regular deposits sleep slyly. carefully bold realms above the ironic dependencies haggle careful"
1,27,8076,993,ven ideas. quickly even packages print. pending multipliers must have to are fluff
1,52,3956,337,"after the fluffily ironic deposits? blithely special dependencies integrate furiously even excuses. blithely silent theodolites could have to haggle pending, express requests; fu"
1,77,4069,358,"al, regular dependencies serve carefully after the quickly final pinto beans. furiously even deposits sleep quickly final, silent pinto beans. fluffily reg"
2,3,8895,378,"nic accounts. final accounts sleep furiously about the ironic, bold packages. regular, regular accounts"
2,28,4969,915,ptotes. quickly pending dependencies integrate furiously. fluffily ironic ideas impress blithely above the express accounts. furiously even epitaphs need to wak
2,53,8539,438,blithely bold ideas. furiously stealthy packages sleep fluffily. slyly special deposits snooze furiously carefully regular accounts. regular deposits according to the accounts nag carefully slyl
2,78,3025,306,"olites. deposits wake carefully. even, express requests cajole. carefully regular ex"
3,4,4651,921,ilent foxes affix furiously quickly unusual requests. even packages across the carefully even theodolites nag above the sp
3,29,4093,498,"ending dependencies haggle fluffily. regular deposits boost quickly carefully regular requests. deposits affix furiously around the pinto beans. ironic, unusual platelets across the p"
3,54,3917,645,of the blithely regular theodolites. final theodolites haggle blithely carefully unusual ideas. blithely even f
3,79,9942,192," unusual, ironic foxes according to the ideas detect furiously alongside of the even, express requests. blithely regular the"
4,5,1339,114," carefully unusual ideas. packages use slyly. blithely final pinto beans cajole along the furiously express requests. regular orbits haggle carefully. care"
4,30,6377,591,ly final courts haggle carefully regular accounts. carefully regular accounts could integrate slyly. slyly express packages about the accounts wake slyly
4,55,2694,51,"g, regular deposits: quick instructions run across the carefully ironic theodolites-- final dependencies haggle into the dependencies. f"
4,80,2480,444,requests sleep quickly regular accounts. theodolites detect. carefully final depths w
5,6,3735,256,arefully even requests. ironic requests cajole carefully even dolphin
5,31,9653,51,y stealthy deposits. furiously final pinto beans wake furiou
5,56,1329,220,"iously regular deposits wake deposits. pending pinto beans promise ironic dependencies. even, regular pinto beans integrate"
5,81,6925,538,sits. quickly fluffy packages wake quickly beyond the blithely regular requests. pending requests cajole among the final pinto beans. carefully busy theodolites affix quickly stealthily 
6,7,8851,131,"usly final packages. slyly ironic accounts poach across the even, sly requests. carefully pending request"
6,32,1627,424," quick packages. ironic deposits print. furiously silent platelets across the carefully final requests are slyly along the furiously even instructi"
6,57,3336,642,final instructions. courts wake packages. blithely unusual realms along the multipliers nag 
6,82,6451,175," accounts alongside of the slyly even accounts wake carefully final instructions-- ruthless platelets wake carefully ideas. even deposits are quickly final,"
7,8,7454,764,y express tithes haggle furiously even foxes. furiously ironic deposits sleep toward the furiously unusual
7,33,2770,150,hould have to nag after the blithely final asymptotes. fluffily spe
7,58,3377,69,usly against the daring asymptotes. slyly regular platelets sleep quickly blithely regular deposits. boldly regular deposits wake blithely ironic accounts
7,83,9460,300,". furiously final ideas hinder slyly among the ironic, final packages. blithely ironic dependencies cajole pending requests: blithely even packa"
8,9,6834,250,"lly ironic accounts solve express, unusual theodolites. special packages use quickly. quickly fin"
8,34,396,957,"r accounts. furiously pending dolphins use even, regular platelets. final"
8,59,9845,221,s against the fluffily special packages snooze slyly slyly regular p
8,84,8126,917,final accounts around the blithely special asymptotes wake carefully beyond the bold dugouts. regular ideas haggle furiously after
9,10,7054,84,ts boost. evenly regular packages haggle after the quickly careful accounts. 
9,35,7542,812,ate after the final pinto beans. express requests cajole express packages. carefully bold ideas haggle furiously. blithely express accounts eat carefully among the evenly busy accounts. carefully un
9,60,9583,381,"d foxes. final, even braids sleep slyly slyly regular ideas. unusual ideas above"
9,85,3063,292," the blithely ironic instructions. blithely express theodolites nag furiously. carefully bold requests shall have to use slyly pending requests. carefully regular instr"
10,11,2952,996," bold foxes wake quickly even, final asymptotes. blithely even depe"
